frame,latency_ms,vote_d,vote_psi,vote_kappa,vote_width,conf,vote_sep,vote_mag,vote_bal,left_ok,right_ok,vote_mode,solve_ms,cte_rear_m,cte_near_m,theta_deg,curvature,conf_eff,lane_width_m,flags,d_near_m,conf_raw,seq,stop_line_dist,crosswalk_dist,judgment_state,cmd_speed,cmd_steer
57,36.38887405395508,-0.10098612308502197,-0.012008660472929478,0.0,3.4800000190734863,0.5092662572860718,0.9999992847442627,0.6829801797866821,0.49130672216415405,1.0,1.0,1.0,0.7939130067825317,-0.10098612308502197,-0.11120942234992981,-0.6880455613136292,0.0,0.5092662572860718,3.4800000190734863,0.0,0.8512864112854004,0.5092662572860718,58.0,1.9781928062438965,-1.0,PASS,2.0,0.0
58,40.12918472290039,-0.10056500136852264,-0.01058538444340229,0.0,3.4800000190734863,0.5099624395370483,0.9999992847442627,0.6849112510681152,0.48913487792015076,1.0,1.0,1.0,0.743569016456604,-0.10056500136852264,-0.10957653075456619,-0.6064978241920471,0.0,0.5099624395370483,3.4800000190734863,0.0,0.8512864112854004,0.5099624395370483,59.0,1.9779889583587646,-1.0,PASS,2.0,0.0
59,42.70744323730469,-0.10082574933767319,-0.010365947149693966,0.0,3.4800000190734863,0.5103954672813416,0.9999992847442627,0.6860145330429077,0.4880024790763855,1.0,1.0,1.0,0.7445499897003174,-0.10082574933767319,-0.10965045541524887,-0.5939249992370605,0.0,0.5103954672813416,3.4800000190734863,0.0,0.8512864112854004,0.5103954672813416,60.0,1.9783965349197388,-1.0,PASS,2.0,0.0
60,42.74725914001465,-0.10115300863981247,-0.010324466973543167,0.0,3.4800000190734863,0.5106576681137085,0.9999992847442627,0.6867751479148865,0.48711806535720825,1.0,1.0,0.0,1.7543829679489136,-0.10115300863981247,-0.10994239896535873,-0.5915483832359314,0.0,0.5106576681137085,3.4800000190734863,0.0,0.8512864112854004,0.5106576681137085,61.0,1.9781928062438965,-1.0,PASS,2.0,0.0
61,44.09909248352051,-0.10078956186771393,-0.010506228543817997,0.0,3.4800000190734863,0.5094156265258789,0.9999992847442627,0.6834808588027954,0.4906511902809143,1.0,1.0,1.0,0.7805969715118408,-0.10078956186771393,-0.1097337007522583,-0.6019625663757324,0.0,0.5094156265258789,3.4800000190734863,0.0,0.8512864112854004,0.5094156265258789,62.0,1.9781928062438965,-1.0,PASS,2.0,0.0
62,47.29437828063965,-0.10017824172973633,-0.011202351190149784,0.0,3.4800000190734863,0.5094291567802429,0.9999992847442627,0.6835548281669617,0.4905295968055725,1.0,1.0,1.0,0.7459530234336853,-0.10017824172973633,-0.1097150519490242,-0.6418474316596985,0.0,0.5094291567802429,3.4800000190734863,0.0,0.8512864112854004,0.5094291567802429,63.0,1.9783965349197388,-1.0,PASS,2.0,0.0
63,25.03371238708496,-0.10078880935907364,-0.010677219368517399,0.0,3.4800000190734863,0.5109023451805115,0.9999992847442627,0.6874346733093262,0.48640310764312744,1.0,1.0,1.0,0.8096519708633423,-0.10078880935907364,-0.1098785251379013,-0.611759603023529,0.0,0.5109023451805115,3.4800000190734863,0.0,0.8512864112854004,0.5109023451805115,64.0,1.9783965349197388,-1.0,PASS,2.0,0.0
64,26.0312557220459,-0.10092248022556305,-0.008990578353404999,0.0,3.4800000190734863,0.5111263990402222,0.9999992847442627,0.688021183013916,0.48578742146492004,1.0,1.0,1.0,0.7451720237731934,-0.10092248022556305,-0.10857624560594559,-0.5151221752166748,0.0,0.5111263990402222,3.4800000190734863,0.0,0.8512864112854004,0.5111263990402222,65.0,1.9781928062438965,-1.0,PASS,2.0,0.0
65,25.787830352783203,-0.10149558633565903,-0.009860833175480366,0.0,3.4800000190734863,0.5109259486198425,0.9999992847442627,0.6874966025352478,0.4863379895687103,1.0,1.0,1.0,0.7441700100898743,-0.10149558633565903,-0.10989025235176086,-0.564984142780304,0.0,0.5109259486198425,3.4800000190734863,0.0,0.8512864112854004,0.5109259486198425,66.0,1.9781928062438965,-1.0,PASS,2.0,0.0
66,24.99699592590332,-0.10138101130723953,-0.00986741203814745,0.0,3.4800000190734863,0.5118677020072937,0.9999992847442627,0.6898234486579895,0.4840548038482666,1.0,1.0,1.0,0.7364159822463989,-0.10138101130723953,-0.10978128015995026,-0.5653610825538635,0.0,0.5118677020072937,3.4800000190734863,0.0,0.8512864112854004,0.5118677020072937,67.0,1.9781928062438965,-1.0,PASS,2.0,0.0
67,25.74324607849121,-0.10191422700881958,-0.00968546885997057,0.0,3.4800000190734863,0.5113827586174011,0.9999992847442627,0.6886029839515686,0.48527657985687256,1.0,1.0,1.0,0.7414050102233887,-0.10191422700881958,-0.11015959084033966,-0.5549364686012268,0.0,0.5113827586174011,3.4800000190734863,0.0,0.8512864112854004,0.5113827586174011,68.0,1.9783965349197388,-1.0,PASS,2.0,0.0
68,26.892900466918945,-0.10027042031288147,-0.01047428511083126,0.0,3.4800000190734863,0.5102320909500122,0.9999992847442627,0.6855670213699341,0.48849722743034363,1.0,1.0,1.0,0.7723320126533508,-0.10027042031288147,-0.10918736457824707,-0.6001323461532593,0.0,0.5102320909500122,3.4800000190734863,0.0,0.8512864112854004,0.5102320909500122,69.0,1.9783965349197388,-1.0,PASS,2.0,0.0
